Car_id,Dealer_Name,Company,Model,Engine,Transmission,Color,Price,Dealer_No ,Body _Style,Dealer_Region,,,Count of Model,
2257,Saab-Belle Dodge,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,60504-7114,SUV,Aurora,,,,
2258,Star Enterprises Inc,Plymouth,Prowler,Overhead Camshaft,Manual,Red,71700,99301-3882,Hatchback,Pasco,,,,
2259,Star Enterprises Inc,Buick,LeSabre,Overhead Camshaft,Manual,Black,20000,99301-3882,Sedan,Pasco,,,,
2260,Suburban Ford,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9800,53546-9427,SUV,Janesville,,,,
2261,Tri-State Mack Inc,Jeep,Grand Cherokee,Overhead Camshaft,Manual,Pale White,15000,85257-3102,SUV,Scottsdale,,,,
2262,U-Haul CO,Mitsubishi,Diamante,Overhead Camshaft,Manual,Red,19000,78758-7841,Hatchback,Austin,,,,
2263,New Castle Ford Lincoln Mercury,Subaru,Outback,Overhead Camshaft,Manual,Red,49000,60504-7114,SUV,Aurora,,,,
2264,Pars Auto Sales,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Black,31600,38701-8047,SUV,Greenville,,,,
2265,Pitre Buick-Pontiac-Gmc of Scottsdale,Plymouth,Neon,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,99301-3882,SUV,Pasco,,,,
2266,Progressive Shippers Cooperative Association No,Chevrolet,Lumina,Overhead Camshaft,Manual,Red,12000,53546-9427,Passenger,Janesville,,,,
2267,Star Enterprises Inc,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Red,12000,99301-3882,Passenger,Janesville,,,,
2268,Suburban Ford,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Red,39000,53546-9427,Sedan,Scottsdale,,,,
2269,Tri-State Mack Inc,Honda,CR-V,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,85257-3102,SUV,Austin,,,,
2270,U-Haul CO,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,26000,78758-7841,Hatchback,Middletown,,,,
2271,Diehl Motor CO Inc,Infiniti,I30,Overhead Camshaft,Manual,Red,22000,06457-3834,SUV,Middletown,,,,
2272,Enterprise Rent A Car,Chevrolet,Prizm,Overhead Camshaft,Manual,Black,27000,60504-7114,SUV,Aurora,,,,
2273,Gartner Buick Hyundai Saab,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,22500,38701-8047,SUV,Greenville,,,,
2274,Hatfield Volkswagen,Volvo,S40,Overhead Camshaft,Manual,Red,17000,99301-3882,Sedan,Pasco,,,,
2275,Iceberg Rentals,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36000,53546-9427,Hatchback,Janesville,,,,
2276,McKinney Dodge Chrysler Jeep,Pontiac,Sunfire,DoubleÂ Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,Scottsdale,,,,
2277,Motor Vehicle Branch Office,Lincoln,Continental,Overhead Camshaft,Manual,Black,18000,78758-7841,Passenger,Austin,,,,
2278,Suburban Ford,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Red,19000,53546-9427,Hatchback,Janesville,,,,
2279,Hatfield Volkswagen,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,99301-3882,Hardtop,Pasco,,,,
2280,U-Haul CO,Hyundai,Elantra,Overhead Camshaft,Manual,Red,22000,78758-7841,Sedan,Austin,,,,
2281,Progressive Shippers Cooperative Association No,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Red,17000,53546-9427,Hatchback,Janesville,,,,
2282,Rabun Used Car Sales,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,85257-3102,Sedan,Scottsdale,,,,
2283,Race Car Help,Plymouth,Neon,DoubleÂ Overhead Camshaft,Auto,Black,9000,78758-7841,SUV,Austin,,,,
2284,Ryder Truck Rental and Leasing,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,06457-3834,Sedan,Middletown,,,,
2285,Progressive Shippers Cooperative Association No,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,53546-9427,Passenger,Janesville,,,,
2286,Rabun Used Car Sales,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,21000,85257-3102,Hatchback,Austin,,,,
2287,Race Car Help,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Red,19250,78758-7841,Hatchback,Austin,,,,
2288,Ryder Truck Rental and Leasing,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,60000,06457-3834,Passenger,Middletown,,,,
2289,Saab-Belle Dodge,Ford,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,60504-7114,Sedan,Aurora,,,,
2290,Scrivener Performance Engineering,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21500,38701-8047,Hatchback,Greenville,,,,
2291,Star Enterprises Inc,Honda,CR-V,DoubleÂ Overhead Camshaft,Auto,Red,12250,99301-3882,SUV,Pasco,,,,
2292,Rabun Used Car Sales,Chevrolet,Corvette,Overhead Camshaft,Manual,Black,26000,85257-3102,SUV,Scottsdale,,,,
2293,Race Car Help,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Red,33000,78758-7841,Passenger,Austin,,,,
2294,Ryder Truck Rental and Leasing,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,06457-3834,SUV,Middletown,,,,
2295,Saab-Belle Dodge,Volvo,V40,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,60504-7114,SUV,Aurora,,,,
2296,Scrivener Performance Engineering,Pontiac,Sunfire,Overhead Camshaft,Manual,Red,43000,38701-8047,Sedan,Greenville,,,,
2297,Star Enterprises Inc,Mitsubishi,Montero,Overhead Camshaft,Manual,Black,16000,99301-3882,SUV,Pasco,,,,
2298,Suburban Ford,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Red,39000,53546-9427,Sedan,Janesville,,,,
2299,Progressive Shippers Cooperative Association No,Porsche,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,22000,53546-9427,Hatchback,Aurora,,,,
2300,Rabun Used Car Sales,Ford,Ranger,Overhead Camshaft,Manual,Black,18000,85257-3102,Hatchback,Greenville,,,,
2301,Race Car Help,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,78758-7841,Hatchback,Pasco,,,,
2302,Ryder Truck Rental and Leasing,Porsche,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,22000,06457-3834,Hatchback,Janesville,,,,
2303,Saab-Belle Dodge,Dodge,Dakota,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,Sedan,Scottsdale,,,,
2304,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,Austin,,,,
2305,Star Enterprises Inc,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19000,99301-3882,Sedan,Middletown,,,,
2306,Nebo Chevrolet,BMW,528i,Overhead Camshaft,Manual,Black,21000,06457-3834,SUV,Middletown,,,,
2307,New Castle Ford Lincoln Mercury,Audi,A4,Overhead Camshaft,Manual,Pale White,12001,60504-7114,SUV,Aurora,,,,
2308,Pars Auto Sales,Mercury,Sable,Overhead Camshaft,Manual,Red,61001,38701-8047,Sedan,Greenville,,,,
2309,Pitre Buick-Pontiac-Gmc of Scottsdale,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Red,41501,99301-3882,SUV,Pasco,,,,
2310,Progressive Shippers Cooperative Association No,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Red,15001,53546-9427,Sedan,Janesville,,,,
2311,Rabun Used Car Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24101,85257-3102,Hatchback,Scottsdale,,,,
2312,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41251,78758-7841,Hatchback,Austin,,,,
2313,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,13001,06457-3834,Hatchback,Middletown,,,,
2314,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Red,20001,60504-7114,Sedan,Aurora,,,,
2315,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,Greenville,,,,
2316,Star Enterprises Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Sedan,Pasco,,,,
2317,Capitol KIA,Lexus,RX300,Overhead Camshaft,Manual,Black,18000,38701-8047,Hardtop,Greenville,,,,
2318,Progressive Shippers Cooperative Association No,Volkswagen,Golf,DoubleÂ Overhead Camshaft,Auto,Red,35000,53546-9427,Hardtop,Janesville,,,,
2319,Star Enterprises Inc,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16900,99301-3882,SUV,Pasco,,,,
2320,Star Enterprises Inc,Mercedes-B,M-Class,DoubleÂ Overhead Camshaft,Auto,Black,18100,99301-3882,Hardtop,Pasco,,,,
2321,Tri-State Mack Inc,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,85257-3102,Sedan,Scottsdale,,,,
2322,U-Haul CO,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,78758-7841,SUV,Austin,,,,
2323,Buddy Storbeck's Diesel Service Inc,Porsche,Carrera Cabrio,Overhead Camshaft,Manual,Black,22700,06457-3834,Passenger,Middletown,,,,
2324,C & M Motors Inc,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,60504-7114,Sedan,Aurora,,,,
2325,Capitol KIA,Ford,Expedition,Overhead Camshaft,Manual,Red,22000,38701-8047,SUV,Greenville,,,,
2326,Chrysler of Tri-Cities,Mercedes-B,S-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,10000,99301-3882,SUV,Pasco,,,,
2327,Chrysler Plymouth,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Red,25500,53546-9427,Passenger,Janesville,,,,
2328,Suburban Ford,Volkswagen,GTI,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,53546-9427,SUV,Janesville,,,,
2329,Tri-State Mack Inc,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33001,85257-3102,Hatchback,Scottsdale,,,,
2330,U-Haul CO,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,75501,78758-7841,Hatchback,Austin,,,,
2331,Buddy Storbeck's Diesel Service Inc,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Black,60001,06457-3834,Sedan,Middletown,,,,
2332,C & M Motors Inc,Ford,Expedition,Overhead Camshaft,Manual,Black,10001,60504-7114,SUV,Aurora,,,,
2333,Capitol KIA,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19000,38701-8047,Sedan,Greenville,,,,
2334,Chrysler of Tri-Cities,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Red,31000,99301-3882,Passenger,Pasco,,,,
2335,Chrysler Plymouth,Honda,Civic,Overhead Camshaft,Manual,Pale White,45000,53546-9427,Hatchback,Janesville,,,,
2336,Classic Chevy,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,85257-3102,Sedan,Scottsdale,,,,
2337,Clay Johnson Auto Sales,Toyota,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,78758-7841,SUV,Austin,,,,
2338,Diehl Motor CO Inc,Volkswagen,Golf,DoubleÂ Overhead Camshaft,Auto,Red,35000,06457-3834,Hatchback,Middletown,,,,
2339,Tri-State Mack Inc,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,Scottsdale,,,,
2340,U-Haul CO,Lexus,GS400,Overhead Camshaft,Manual,Black,53500,78758-7841,Hatchback,Austin,,,,
2341,Progressive Shippers Cooperative Association No,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,53546-9427,SUV,Janesville,,,,
2342,Ryder Truck Rental and Leasing,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46001,06457-3834,Hardtop,Middletown,,,,
2343,Race Car Help,Saab,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,26500,78758-7841,Sedan,Austin,,,,
2344,U-Haul CO,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,21001,78758-7841,Hardtop,Austin,,,,
2345,Saab-Belle Dodge,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Red,16000,60504-7114,SUV,Aurora,,,,
2346,Scrivener Performance Engineering,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16000,38701-8047,SUV,Greenville,,,,
2347,Star Enterprises Inc,Volvo,S40,Overhead Camshaft,Manual,Red,17000,99301-3882,Sedan,Pasco,,,,
2348,Suburban Ford,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Red,34000,53546-9427,Sedan,Janesville,,,,
2349,Tri-State Mack Inc,Pontiac,Sunfire,Overhead Camshaft,Manual,Red,43500,85257-3102,Sedan,Scottsdale,,,,
2350,Suburban Ford,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,53546-9427,Hatchback,Aurora,,,,
2351,Tri-State Mack Inc,Saab,3-Sep,DoubleÂ Overhead Camshaft,Auto,Red,69500,85257-3102,Sedan,Greenville,,,,
2352,U-Haul CO,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,78758-7841,Hatchback,Pasco,,,,
2353,Buddy Storbeck's Diesel Service Inc,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14000,06457-3834,Sedan,Janesville,,,,
2354,C & M Motors Inc,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,38000,60504-7114,Passenger,Scottsdale,,,,
2355,Capitol KIA,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,32000,38701-8047,Passenger,Austin,,,,
2356,Chrysler of Tri-Cities,Mercedes-B,CL500,Overhead Camshaft,Manual,Black,22000,99301-3882,SUV,Middletown,,,,
2357,Chrysler Plymouth,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Red,19200,53546-9427,Sedan,Aurora,,,,
2358,Classic Chevy,Acura,RL,Overhead Camshaft,Manual,Red,31000,85257-3102,SUV,Greenville,,,,
2359,Clay Johnson Auto Sales,Chevrolet,Monte Carlo,DoubleÂ Overhead Camshaft,Auto,Red,21000,78758-7841,Hatchback,Pasco,,,,
2360,Diehl Motor CO Inc,Honda,Passport,Overhead Camshaft,Manual,Pale White,13000,06457-3834,Hatchback,Janesville,,,,
2361,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,Scottsdale,,,,
2362,Classic Chevy,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20000,85257-3102,SUV,Scottsdale,,,,
2363,Enterprise Rent A Car,Dodge,Durango,Overhead Camshaft,Manual,Pale White,27000,60504-7114,SUV,Aurora,,,,
2364,U-Haul CO,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Red,15000,78758-7841,Sedan,Austin,,,,
2365,Enterprise Rent A Car,Chevrolet,Malibu,Overhead Camshaft,Manual,Red,24000,60504-7114,Hatchback,Austin,,,,
2366,U-Haul CO,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,78758-7841,Passenger,Austin,,,,
2367,Progressive Shippers Cooperative Association No,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21000,53546-9427,SUV,Janesville,,,,
2368,Rabun Used Car Sales,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33500,85257-3102,Hatchback,Scottsdale,,,,
2369,Clay Johnson Auto Sales,Cadillac,Escalade,DoubleÂ Overhead Camshaft,Auto,Pale White,38000,78758-7841,Sedan,Austin,,,,
2370,Diehl Motor CO Inc,Volkswagen,Passat,Overhead Camshaft,Manual,Red,20000,06457-3834,Hatchback,Middletown,,,,
2371,Enterprise Rent A Car,Acura,RL,DoubleÂ Overhead Camshaft,Auto,Black,24000,60504-7114,SUV,Aurora,,,,
2372,Gartner Buick Hyundai Saab,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,38701-8047,Passenger,Greenville,,,,
2373,Hatfield Volkswagen,Honda,CR-V,DoubleÂ Overhead Camshaft,Auto,Pale White,22300,99301-3882,SUV,Pasco,,,,
2374,Iceberg Rentals,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,53546-9427,SUV,Janesville,,,,
2375,Buddy Storbeck's Diesel Service Inc,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,06457-3834,Passenger,Middletown,,,,
2376,C & M Motors Inc,Saturn,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,51000,60504-7114,Sedan,Aurora,,,,
2377,Capitol KIA,Acura,RL,Overhead Camshaft,Manual,Black,18000,38701-8047,SUV,Greenville,,,,
2378,Gartner Buick Hyundai Saab,Porsche,Boxter,DoubleÂ Overhead Camshaft,Auto,Black,26000,38701-8047,SUV,Austin,,,,
2379,Hatfield Volkswagen,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,12000,99301-3882,Hatchback,Janesville,,,,
2380,Iceberg Rentals,Mitsubishi,Eclipse,DoubleÂ Overhead Camshaft,Auto,Black,27000,53546-9427,Hatchback,Austin,,,,
2381,Race Car Help,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,78758-7841,SUV,Austin,,,,
2382,Gartner Buick Hyundai Saab,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,38701-8047,Hatchback,Greenville,,,,
2383,McKinney Dodge Chrysler Jeep,Dodge,Ram Wagon,DoubleÂ Overhead Camshaft,Auto,Black,22000,85257-3102,Passenger,Scottsdale,,,,
2384,Buddy Storbeck's Diesel Service Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Red,19001,06457-3834,Hardtop,Middletown,,,,
2385,McKinney Dodge Chrysler Jeep,Subaru,Forester,Overhead Camshaft,Manual,Red,26000,85257-3102,Hatchback,Austin,,,,
2386,Ryder Truck Rental and Leasing,Acura,RL,Overhead Camshaft,Manual,Red,17000,06457-3834,SUV,Middletown,,,,
2387,Saab-Belle Dodge,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,60504-7114,Passenger,Aurora,,,,
2388,Scrivener Performance Engineering,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,38701-8047,Sedan,Greenville,,,,
2389,Star Enterprises Inc,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,99301-3882,Hatchback,Pasco,,,,
2390,Suburban Ford,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39500,53546-9427,Passenger,Janesville,,,,
2391,Tri-State Mack Inc,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,85257-3102,SUV,Scottsdale,,,,
2392,U-Haul CO,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,78758-7841,Hatchback,Austin,,,,
2393,Buddy Storbeck's Diesel Service Inc,Honda,Accord,Overhead Camshaft,Manual,Black,43000,06457-3834,Sedan,Middletown,,,,
2394,Hatfield Volkswagen,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16000,99301-3882,SUV,Pasco,,,,
2395,Iceberg Rentals,Saturn,LW,Overhead Camshaft,Manual,Red,49000,53546-9427,Hatchback,Janesville,,,,
2396,Suburban Ford,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,16000,53546-9427,Hardtop,Janesville,,,,
2397,Motor Vehicle Branch Office,Pontiac,Sunfire,Overhead Camshaft,Manual,Red,43000,78758-7841,Sedan,Austin,,,,
2398,Motor Vehicle Branch Office,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,53500,78758-7841,Hardtop,Austin,,,,
2399,Progressive Shippers Cooperative Association No,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,53546-9427,Hardtop,Janesville,,,,
2400,Pars Auto Sales,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14800,38701-8047,Sedan,Greenville,,,,
2401,Pitre Buick-Pontiac-Gmc of Scottsdale,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Red,29000,99301-3882,Hatchback,Pasco,,,,
2402,Motor Vehicle Branch Office,Ford,Expedition,Overhead Camshaft,Manual,Black,10000,78758-7841,SUV,Austin,,,,
2403,Nebo Chevrolet,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hatchback,Middletown,,,,
2404,New Castle Ford Lincoln Mercury,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,60504-7114,Passenger,Aurora,,,,
2405,Pars Auto Sales,Plymouth,Voyager,Overhead Camshaft,Manual,Black,75000,38701-8047,Passenger,Greenville,,,,
2406,Pitre Buick-Pontiac-Gmc of Scottsdale,Hyundai,Elantra,Overhead Camshaft,Manual,Red,22700,99301-3882,Sedan,Pasco,,,,
2407,Progressive Shippers Cooperative Association No,Porsche,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,22000,53546-9427,Hatchback,Janesville,,,,
2408,Rabun Used Car Sales,Saturn,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,85257-3102,Hatchback,Scottsdale,,,,
2409,Race Car Help,Mercury,Villager,Overhead Camshaft,Manual,Pale White,14000,78758-7841,Passenger,Austin,,,,
2410,Chrysler Plymouth,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,41000,53546-9427,SUV,Janesville,,,,
2411,Diehl Motor CO Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,75001,06457-3834,Hardtop,Middletown,,,,
2412,Clay Johnson Auto Sales,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,78758-7841,Passenger,Austin,,,,
2413,Diehl Motor CO Inc,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Red,39000,06457-3834,Passenger,Middletown,,,,
2414,Enterprise Rent A Car,Mercury,Villager,DoubleÂ Overhead Camshaft,Auto,Black,28000,60504-7114,Passenger,Aurora,,,,
2415,Gartner Buick Hyundai Saab,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,38701-8047,Hatchback,Greenville,,,,
2416,Hatfield Volkswagen,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Red,41000,99301-3882,Hatchback,Pasco,,,,
2417,Iceberg Rentals,Volvo,C70,Overhead Camshaft,Manual,Black,17000,53546-9427,Hatchback,Janesville,,,,
2418,Motor Vehicle Branch Office,Pontiac,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,78758-7841,Passenger,Middletown,,,,
2419,Nebo Chevrolet,Plymouth,Neon,Overhead Camshaft,Manual,Black,29000,06457-3834,SUV,Aurora,,,,
2420,New Castle Ford Lincoln Mercury,Acura,RL,Overhead Camshaft,Manual,Red,34000,60504-7114,SUV,Greenville,,,,
2421,Pars Auto Sales,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Red,22000,38701-8047,Passenger,Pasco,,,,
2422,Pitre Buick-Pontiac-Gmc of Scottsdale,Toyota,Camry,DoubleÂ Overhead Camshaft,Auto,Red,31000,99301-3882,Hatchback,Janesville,,,,
2423,Progressive Shippers Cooperative Association No,Mercedes-B,S-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,10000,53546-9427,SUV,Scottsdale,,,,
2424,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Manual,Red,17000,85257-3102,SUV,Austin,,,,
2425,Race Car Help,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Black,31000,78758-7841,Passenger,Middletown,,,,
2426,C & M Motors Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,60504-7114,Sedan,Aurora,,,,
2427,Capitol KIA,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Red,22000,38701-8047,SUV,Greenville,,,,
2428,Progressive Shippers Cooperative Association No,Mercury,Grand Marquis,Overhead Camshaft,Manual,Red,71000,53546-9427,SUV,Janesville,,,,
2429,Rabun Used Car Sales,Lexus,GS300,Overhead Camshaft,Manual,Red,17000,85257-3102,Passenger,Scottsdale,,,,
2430,Ryder Truck Rental and Leasing,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,20500,06457-3834,Hatchback,Middletown,,,,
2431,Saab-Belle Dodge,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21500,60504-7114,Hatchback,Aurora,,,,
2432,McKinney Dodge Chrysler Jeep,Saturn,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,85257-3102,Hatchback,Scottsdale,,,,
2433,Motor Vehicle Branch Office,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Red,12000,78758-7841,Sedan,Austin,,,,
2434,Ryder Truck Rental and Leasing,Ford,Focus,Overhead Camshaft,Manual,Black,49750,06457-3834,Hatchback,Aurora,,,,
2435,Saab-Belle Dodge,Chevrolet,Corvette,Overhead Camshaft,Manual,Black,26000,60504-7114,SUV,Greenville,,,,
2436,Chrysler of Tri-Cities,Mercury,Grand Marquis,Overhead Camshaft,Manual,Red,71000,99301-3882,SUV,Pasco,,,,
2437,Chrysler Plymouth,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,53546-9427,Sedan,Janesville,,,,
2438,Classic Chevy,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,85257-3102,SUV,Scottsdale,,,,
2439,Clay Johnson Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,78758-7841,Hatchback,Austin,,,,
2440,Diehl Motor CO Inc,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19400,06457-3834,Passenger,Middletown,,,,
2441,Enterprise Rent A Car,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,60504-7114,Passenger,Aurora,,,,
2442,Gartner Buick Hyundai Saab,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Red,12000,38701-8047,Passenger,Greenville,,,,
2443,Hatfield Volkswagen,Ford,Expedition,Overhead Camshaft,Manual,Red,22500,99301-3882,SUV,Pasco,,,,
2444,Iceberg Rentals,Chevrolet,Prizm,Overhead Camshaft,Manual,Red,21000,53546-9427,SUV,Janesville,,,,
2445,McKinney Dodge Chrysler Jeep,Chevrolet,Prizm,DoubleÂ Overhead Camshaft,Auto,Red,15000,85257-3102,SUV,Scottsdale,,,,
2446,Motor Vehicle Branch Office,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Red,19300,78758-7841,Passenger,Austin,,,,
2447,Nebo Chevrolet,BMW,528i,Overhead Camshaft,Manual,Black,21700,06457-3834,SUV,Middletown,,,,
2448,Race Car Help,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,78758-7841,SUV,Austin,,,,
2449,Pitre Buick-Pontiac-Gmc of Scottsdale,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Black,12000,99301-3882,Hardtop,Pasco,,,,
2450,Saab-Belle Dodge,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Red,19000,60504-7114,Hatchback,Aurora,,,,
2451,Scrivener Performance Engineering,Toyota,RAV4,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,38701-8047,Hatchback,Greenville,,,,
2452,Star Enterprises Inc,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Red,24100,99301-3882,Sedan,Pasco,,,,
